Year Start,Year End,State,Class,Topic,Data Value Unit,Data Value(%),Age Group,Geolocation,Gender,Race and Ethnicity,Longitude,Latitude
2019,2022,NY,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,13.8,50-64 years,"-75.54397043,42.82700103",--,Hispanic,-75.54397043,42.82700103
2019,2022,WA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.5,65 years or older,"-120.4700108,47.52227863",Female,--,-120.4700108,47.52227863
2019,2022,WA,Cognitive Decline,Subjective cognitive decline or memory loss among older adults,%,9.3,65 years or older,"-120.4700108,47.52227863",Male,--,-120.4700108,47.52227863
2019,2022,WA,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,22.1,Overall,"-120.4700108,47.52227863",Male,--,-120.4700108,47.52227863
2019,2022,GA,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,%,36.5,65 years or older,"-83.62758035,32.83968109",--,"Black, non-Hispanic",-83.62758035,32.83968109
2019,2022,WY,Cognitive Decline,Talked with health care professional about subjective cognitive decline or memory loss,%,32.2,65 years or older,"-108.1098304,43.23554134",Male,--,-108.1098304,43.23554134
2019,2022,ID,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,34.9,50-64 years,"-114.36373,43.68263001",Male,--,-114.36373,43.68263001
2019,2022,MO,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,41.9,50-64 years,"-92.56630005,38.63579078",Female,--,-92.56630005,38.63579078
2019,2022,FL,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,40.3,Overall,"-81.92896054,28.93204038",Female,--,-81.92896054,28.93204038
2019,2022,OR,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,25.8,Overall,"-120.1550313,44.56744942",Female,--,-120.1550313,44.56744942
2019,2022,TN,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,50.3,Overall,"-85.77449091,35.68094058",Female,--,-85.77449091,35.68094058
2019,2022,MS,Cognitive Decline,Functional difficulties associated with subjective cognitive decline or memory loss among older adults,%,51.2,50-64 years,"-89.53803082,32.7455101",Male,--,-89.53803082,32.7455101
2019,2022,HI,Cognitive Decline,Need assistance with day-to-day activities because of subjective cognitive decline or memory loss,%,27.2,50-64 years,"-157.8577494,21.30485044",Female,--,-157.8577494,21.30485044
